Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03 00:00:00-05:00,28.950000762939453,29.082500457763672,28.690000534057617,29.037500381469727,27.174753189086914,115127600
2017-01-04 00:00:00-05:00,28.962499618530273,29.127500534057617,28.9375,29.0049991607666,27.144344329833984,84472400
2017-01-05 00:00:00-05:00,28.979999542236328,29.21500015258789,28.952499389648438,29.15250015258789,27.28237533569336,88774400
2017-01-06 00:00:00-05:00,29.19499969482422,29.540000915527344,29.11750030517578,29.477500915527344,27.586532592773438,127007600
2017-01-09 00:00:00-05:00,29.487499237060547,29.857500076293945,29.485000610351562,29.747499465942383,27.839208602905273,134247600
2017-01-10 00:00:00-05:00,29.6924991607666,29.844999313354492,29.575000762939453,29.77750015258789,27.867286682128906,97848400
2017-01-11 00:00:00-05:00,29.684999465942383,29.982500076293945,29.649999618530273,29.9375,28.017019271850586,110354400
2017-01-12 00:00:00-05:00,29.725000381469727,29.825000762939453,29.552499771118164,29.8125,27.900039672851562,108344800
2017-01-13 00:00:00-05:00,29.77750015258789,29.905000686645508,29.702499389648438,29.760000228881836,27.850906372070312,104447600
2017-01-17 00:00:00-05:00,29.584999084472656,30.059999465942383,29.55500030517578,30.0,28.075510025024414,137759200
2017-01-18 00:00:00-05:00,30.0,30.125,29.927499771118164,29.997499465942383,28.073169708251953,94852000
2017-01-19 00:00:00-05:00,29.850000381469727,30.022499084472656,29.842500686645508,29.94499969482422,28.024036407470703,102389200
2017-01-20 00:00:00-05:00,30.112499237060547,30.112499237060547,29.9325008392334,30.0,28.075510025024414,130391600
2017-01-23 00:00:00-05:00,30.0,30.202499389648438,29.9424991607666,30.020000457763672,28.094223022460938,88200800
2017-01-24 00:00:00-05:00,29.887500762939453,30.024999618530273,29.875,29.99250030517578,28.06848907470703,92844000
2017-01-25 00:00:00-05:00,30.104999542236328,30.524999618530273,30.06999969482422,30.469999313354492,28.515356063842773,129510400
2017-01-26 00:00:00-05:00,30.417499542236328,30.610000610351562,30.399999618530273,30.485000610351562,28.52939796447754,105350400
2017-01-27 00:00:00-05:00,30.53499984741211,30.587499618530273,30.399999618530273,30.487499237060547,28.53173828125,82251600
2017-01-30 00:00:00-05:00,30.232500076293945,30.407499313354492,30.165000915527344,30.407499313354492,28.456871032714844,121510000
2017-01-31 00:00:00-05:00,30.287500381469727,30.34749984741211,30.155000686645508,30.337499618530273,28.391355514526367,196804000
2017-02-01 00:00:00-05:00,31.75749969482422,32.622501373291016,31.752500534057617,32.1875,30.122678756713867,447940000
2017-02-02 00:00:00-05:00,31.9950008392334,32.34749984741211,31.94499969482422,32.13249969482422,30.071208953857422,134841600
2017-02-03 00:00:00-05:00,32.07749938964844,32.29750061035156,32.040000915527344,32.27000045776367,30.19988441467285,98029200
2017-02-06 00:00:00-05:00,32.282501220703125,32.625,32.224998474121094,32.5724983215332,30.482988357543945,107383600
2017-02-07 00:00:00-05:00,32.6349983215332,33.022499084472656,32.61249923706055,32.88249969482422,30.773094177246094,152735200
2017-02-08 00:00:00-05:00,32.837501525878906,33.05500030517578,32.80500030517578,33.0099983215332,30.892414093017578,92016400
2017-02-09 00:00:00-05:00,32.912498474121094,33.11249923706055,32.779998779296875,33.10499954223633,31.115646362304688,113399600
2017-02-10 00:00:00-05:00,33.1150016784668,33.23500061035156,33.01250076293945,33.029998779296875,31.045154571533203,80262000
